Id,SalePrice
1461,124704.351976818
1462,162777.73766074906
1463,187023.0360096526
1464,190946.05058008313
1465,205045.94742848695
1466,173242.69024383408
1467,177937.97965103044
1468,168154.02820501768
1469,184952.92428751217
1470,125820.96413982146
1471,213033.16089603154
1472,97891.00579804405
1473,92782.02782651396
1474,155577.7770025257
1475,142874.3861161038
1476,449423.85725886637
1477,264164.3835261149
1478,312108.8024382029
1479,276553.4340507501
1480,534294.9923507224
1481,317574.4202001695
1482,214026.82339007675
1483,177134.5329444597
1484,171717.26555250076
1485,184006.76363036045
1486,191755.2413117771
1487,359881.43418675556
1488,246016.5250419444
1489,205819.01595200907
1490,223670.65812447388
1491,192914.31526795175
1492,95836.09238717282
1493,197114.58823430288
1494,324859.1235687712
1495,309023.06553956034
1496,245994.87272171624
1497,171658.30269562392
1498,171915.8226757411
1499,174855.7265268426
1500,151424.3188679008
1501,168891.92378044923
1502,162692.25868523208
1503,307081.1038863036
1504,233126.4208685532
1505,220664.5150849199
1506,191015.37184295975
1507,244710.90871555347
1508,212001.7756093893
1509,158809.9201845951
1510,143859.24129711915
1511,139670.72928486747
1512,173632.21936773945
1513,160696.80331057645
1514,171037.86902066835
1515,208291.93417332365
1516,181533.5222303818
1517,170925.31501474098
1518,137102.61710906227
1519,253450.04076224472
1520,131118.5985930608
1521,138941.95398728483
1522,171032.69466609426
1523,109661.91287171614
1524,134706.20545725359
1525,132742.00127488116
1526,116759.02226863176
1527,106490.85803907047
1528,133928.75198871366
1529,138844.53009449103
1530,185589.56556616075
1531,111373.60938278047
1532,109408.1266826253
1533,154691.22630644334
1534,114762.94020250523
1535,175681.35604052508
1536,112576.15079673835
1537,73982.02546892774
1538,185740.11864666137
1539,231876.94349641152
1540,90986.4245085334
1541,163504.69729554732
1542,141567.6688977802
1543,217754.1665776462
1544,84557.44046635696
1545,100324.89992781155
1546,124080.43567566559
1547,128318.23836410133
1548,126997.6016358333
1549,105385.89514521655
1550,133179.5267319387
1551,118857.0085744744
1552,129538.57113664274
1553,162584.46664534908
1554,108514.06903891906
1555,186755.51132177166
1556,84761.64733149642
1557,117951.90050151794
1558,98518.78710216345
1559,81613.64250898377
1560,144264.22525538979
1561,148635.48181173523
1562,124124.19077383944
1563,121391.55188189742
1564,165753.3932780751
1565,152394.8501562577
1566,247726.0758235211
1567,84819.14661558498
1568,242378.60754561966
1569,141257.02603247223
1570,138816.32498469378
1571,127811.49976097074
1572,146203.97514142795
1573,250843.39541785148
1574,116755.16261823899
1575,234842.95212517082
1576,229999.7535190303
1577,185990.96380794464
1578,153273.03485906735
1579,151212.68023744246
1580,198006.8797730612
1581,160972.39230017268
1582,126243.0240969432
1583,357753.34616035793
1584,227395.87979792987
1585,134001.1083447824
1586,88557.12264144835
1587,95590.32131435174
1588,142977.54838533682
1589,102691.75890756212
1590,132586.286753017
1591,92122.36848657127
1592,126204.17945970516
1593,127024.15430408072
1594,122442.8897718285
1595,105593.40056177403
1596,221267.23016544033
1597,175207.37334281486
1598,207688.45504485964
1599,200816.60940505803
1600,195871.1039285229
1601,67880.12230626273
1602,106775.43868805753
1603,85272.49587923779
1604,252833.68519779303
1605,279167.0356416121
1606,170989.0068056292
1607,196529.26172947182
1608,223990.1610591924
1609,183640.8924315224
1610,149550.72355292318
1611,148456.40666535532
1612,167323.68731605003
1613,169164.14200124037
1614,123556.75168616958
1615,88517.05878114926
1616,66250.20662726265
1617,93638.35721099346
1618,124697.79131236936
1619,148484.65092201842
1620,125800.19062999244
1621,140228.06680390495
1622,146049.8063732962
1623,288975.9779518798
1624,212533.2961031423
1625,134308.79107932758
1626,176044.18393259123
1627,192221.31900107942
1628,301327.18242054177
1629,192600.98591461056
1630,382971.4239325911
1631,223117.62660978927
1632,237121.95540994173
1633,176335.37286457882
1634,177684.7848394104
1635,180442.81131765962
1636,152246.80278577216
1637,188436.74201451076
1638,206647.7187935895
1639,187715.41564786623
1640,268823.49188506574
1641,186945.50446872876
1642,235718.58513369536
1643,240140.2720767386
1644,236703.22411450863
1645,191212.30074141733
1646,155486.88199986462
1647,178328.668934259
1648,127832.8827556957
1649,135321.2797616998
1650,122434.99994565593
1651,132727.50257468116
1652,98401.29719064207
1653,97560.50529331029
1654,153086.42146016788
1655,167366.27244952758
1656,144638.41017620132
1657,153982.54532748033
1658,142507.42441494385
1659,150702.10867414778
1660,157268.0880195633
1661,473132.0418202831
1662,448349.23008363286
1663,418701.21063353104
1664,514426.26050324575
1665,320288.1963470771
1666,359409.11314534827
1667,326323.2652699405
1668,331080.8008341692
1669,302471.6708143793
1670,363822.7333911024
1671,276550.6296700893
1672,493237.0092305995
1673,309237.17779559834
1674,253319.17419744693
1675,187616.86418122725
1676,179147.54344703
1677,215270.99139692733
1678,495552.3964908232
1679,412433.6572066001
1680,333070.27658104745
1681,263849.40656729526
1682,305188.6675241369
1683,181378.8604790922
1684,176926.86981638893
1685,169404.69077190905
1686,171954.5473373705
1687,169618.24946502535
1688,184729.89786867506
1689,190100.40756191418
1690,194020.93692637127
1691,181534.7164434429
1692,275410.91784134903
1693,173761.4916981645
1694,180835.6516356152
1695,163835.57604631098
1696,293978.6670147309
1697,167086.81444408084
1698,370670.83859401377
1699,343417.3445922738
1700,240675.84258168074
1701,287119.909420782
1702,259009.569578594
1703,259016.73585204122
1704,286111.60288404213
1705,230731.46286643372
1706,475009.3221519627
1707,211126.51884776374
1708,210992.70960713856
1709,306396.2282941266
1710,230604.1751643698
1711,266275.90041227627
